bullwaves_user,bullwaves_id,from_affiliate_id,to_affiliate_id,comment,created_on,created_by,admin_only,affiliateid
,,2287,35060,"User moonance-2649 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",2/12/2024 9:45:35 AM,Partners,Yes,35060
,,2287,35060,"User moonance-2552 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",2/5/2024 9:59:56 AM,Partners,Yes,35060
,,2287,35060,"User moonance-2216 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",2/5/2024 9:59:02 AM,Partners,Yes,35060
,,2287,35060,"User moonance-2548 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",2/5/2024 8:59:28 AM,Partners,Yes,35060
,,2287,35060,"User moonance-2596 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",2/5/2024 8:30:43 AM,Partners,Yes,35060
,,2287,35060,"User moonance-2600 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",2/5/2024 8:30:23 AM,Partners,Yes,35060
,,2287,35060,"User moonance-2572 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",1/31/2024 8:42:16 PM,Partners,Yes,35060
,,2287,35060,"User moonance-2575 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",1/31/2024 8:41:59 PM,Partners,Yes,35060
,,2287,35060,"User moonance-2551 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",1/29/2024 11:30:52 AM,Partners,Yes,35060
,,2287,35060,"User moonance-2480 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",1/22/2024 8:33:11 AM,Partners,Yes,35060
,,2287,35061,"User moonance-2458 was moved from affiliate 2287 to  affiliate 35061  With settings : Move media report stats , Move pre calculated commissions",1/18/2024 5:07:30 PM,Partners,Yes,35061
,,2287,35060,"User moonance-2438 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",1/17/2024 8:18:16 PM,Partners,Yes,35060
,,2287,35060,"User moonance-2389 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",1/15/2024 5:04:15 PM,Partners,Yes,35060
,,2287,35060,"User moonance-2361 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",1/14/2024 8:44:45 PM,Partners,Yes,35060
,,2287,35060,"User moonance-2307 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",1/11/2024 4:14:51 PM,Partners,Yes,35060
,,2287,35060,"User moonance-2323 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",1/11/2024 4:14:28 PM,Partners,Yes,35060
,,2287,35060,"User moonance-2329 was moved from affiliate 2287 to  affiliate 35060  With settings : Move media report stats , Move pre calculated commissions",1/11/2024 4:08:19 PM,Partners,Yes,35060
