user_id,accounts_count,accounts,has_ftd,has_qftd
bullwaves-814655,1,3004160,1,1
bullwaves-814664,1,3004161,0,0
bullwaves-814600,1,2001066,1,0
bullwaves-814620,1,3004159,0,0
bullwaves-814592,1,3004158,1,0
bullwaves-814587,1,2001065,0,0
bullwaves-814559,1,3004156,0,0
bullwaves-814569,1,3004157,1,0
bullwaves-814540,1,3004155,1,0
bullwaves-814523,1,2001064,0,0
bullwaves-814507,1,2001063,1,0
bullwaves-814491,1,2001062,0,0
bullwaves-814460,1,3004154,0,0
bullwaves-814445,1,3004152,0,0
bullwaves-814436,1,3004151,0,0
bullwaves-814402,1,3004149,0,0
bullwaves-814405,1,2001061,0,0
bullwaves-814417,1,3004150,0,0
bullwaves-814389,1,3004147,1,0
bullwaves-814392,1,3004148,0,0
bullwaves-814364,1,"3004146,3004208",0,0
bullwaves-814350,1,3004145,0,0
bullwaves-814328,1,3004144,0,0
bullwaves-814322,1,3004143,1,0
bullwaves-814299,1,2001060,0,0
bullwaves-814281,1,3004142,0,0
bullwaves-814228,1,3004138,1,0
bullwaves-814240,1,3004139,0,0
bullwaves-814196,1,"3004135,3004137",0,0
bullwaves-814199,1,"3004136,3004185",1,0
bullwaves-814179,1,2001059,1,0
bullwaves-814137,1,3004134,1,1
bullwaves-814100,1,3004132,0,0
bullwaves-814060,1,3004131,1,1
bullwaves-814051,1,,0,0
bullwaves-814031,1,3004130,1,1
bullwaves-814021,1,3004129,0,0
bullwaves-814005,1,3004128,1,0
bullwaves-813979,1,3004126,1,0
bullwaves-813987,1,3004127,0,0
bullwaves-813969,1,3004125,0,0
bullwaves-813960,1,2001058,1,0
bullwaves-813955,1,3004124,1,0
bullwaves-813928,1,3004123,0,0
bullwaves-813885,1,3004122,1,0
bullwaves-813880,1,3004121,0,0
bullwaves-813860,1,2001057,0,0
bullwaves-813811,1,3004120,0,0
bullwaves-813798,1,3004119,0,0
bullwaves-813701,1,2001056,1,0
bullwaves-813685,1,3004118,0,0
bullwaves-813636,1,3004117,0,0
bullwaves-813592,1,3004115,0,0
bullwaves-813603,1,3004116,0,0
bullwaves-813590,1,3004114,0,0
bullwaves-813600,1,2001055,0,0
bullwaves-813584,1,3004113,0,0
bullwaves-813559,1,3004111,0,0
bullwaves-813552,1,3004110,0,0
bullwaves-813543,1,2001054,0,0
bullwaves-813536,1,2001053,0,0
bullwaves-813532,1,2001052,0,0
bullwaves-813521,1,3004109,0,0
bullwaves-813511,1,3004108,0,0
bullwaves-813507,1,3004107,0,0
bullwaves-813483,1,3004105,0,0
bullwaves-813485,1,3004106,0,0
bullwaves-813480,1,2001051,0,0
bullwaves-813472,1,3004104,0,0
bullwaves-813461,1,2001050,0,0
bullwaves-813454,1,3004103,0,0
bullwaves-813435,1,3004102,0,0
bullwaves-813394,1,3004101,1,0
bullwaves-813390,1,3004100,1,0
bullwaves-813360,1,3004097,0,0
bullwaves-813350,1,3004095,0,0
bullwaves-813352,1,3004096,1,0
bullwaves-813325,1,3004094,1,0
bullwaves-813308,1,3004093,1,1
bullwaves-813311,1,"2001048,2001049",0,0
bullwaves-813267,1,"3004091,3004099",1,0
bullwaves-813245,1,3004090,0,0
bullwaves-813234,1,3004089,1,1
bullwaves-813221,1,3004088,0,0
bullwaves-813208,1,3004087,0,0
bullwaves-813185,1,3004086,1,0
bullwaves-813142,1,3004085,0,0
bullwaves-813123,1,3004082,1,0
bullwaves-813110,1,"3004081,3004169",1,0
bullwaves-813106,1,3004080,0,0
bullwaves-813075,1,3004079,1,1
bullwaves-813069,1,2001047,0,0
bullwaves-813065,1,3004078,0,0
bullwaves-812981,1,2001046,0,0
bullwaves-812938,1,3004077,0,0
bullwaves-812903,1,3004076,1,0
bullwaves-812895,1,2001045,0,0
bullwaves-812891,1,3004075,0,0
bullwaves-812862,1,2001044,0,0
bullwaves-812834,1,2001043,0,0
bullwaves-812850,1,3004074,0,0
bullwaves-812812,1,3004073,0,0
bullwaves-812800,1,2001042,0,0
bullwaves-812778,1,3004071,0,0
bullwaves-812789,1,3004072,1,1
bullwaves-812749,1,3004069,0,0
bullwaves-812727,1,2001041,1,0
bullwaves-812694,1,3004067,0,0
bullwaves-812715,1,3004068,0,0
bullwaves-812682,1,3004066,1,1
bullwaves-812655,1,2001040,1,0
bullwaves-812607,1,3004064,0,0
bullwaves-812590,1,3004063,0,0
bullwaves-812554,1,3004062,0,0
bullwaves-812532,1,2001038,0,0
bullwaves-812522,1,3004061,1,0
bullwaves-812470,1,3004059,0,0
bullwaves-812474,1,3004060,1,0
bullwaves-812444,1,3004058,1,0
bullwaves-812434,1,2001037,0,0
bullwaves-812397,1,3004056,1,0
bullwaves-812392,1,2001036,1,0
bullwaves-812408,1,3004057,0,0
bullwaves-812353,1,2001035,1,1
bullwaves-812321,1,3004055,0,0
bullwaves-812312,1,3004053,0,0
bullwaves-812283,1,3004052,1,0
bullwaves-812278,1,3004051,1,0
bullwaves-812276,1,3004050,0,0
bullwaves-812258,1,2001034,0,0
bullwaves-812220,1,"3004048,3004054",1,0
bullwaves-812113,1,3004044,0,0
bullwaves-812129,1,3004046,0,0
bullwaves-812124,1,3004045,1,0
bullwaves-812090,1,3004043,0,0
bullwaves-812106,1,2001033,1,0
bullwaves-812080,1,3004042,1,0
bullwaves-812040,1,3004041,0,0
bullwaves-812027,1,2001032,1,0
bullwaves-812004,1,3004040,0,0
bullwaves-812000,1,3004039,0,0
bullwaves-811927,1,3004037,0,0
bullwaves-811932,1,3004038,0,0
bullwaves-811889,1,3004036,0,0
bullwaves-811860,1,3004035,1,0
bullwaves-811819,1,3004034,0,0
bullwaves-811797,1,3004033,0,0
bullwaves-811776,1,3004032,0,0
bullwaves-811737,1,3004030,0,0
bullwaves-811754,1,3004031,1,0
bullwaves-811688,1,2001031,1,0
bullwaves-811690,1,3004029,0,0
bullwaves-811599,1,2001030,1,0
bullwaves-811549,1,3004027,0,0
bullwaves-811563,1,3004028,1,1
bullwaves-811530,1,3004026,0,0
bullwaves-811489,1,3004025,0,0
bullwaves-811464,1,3004024,1,1
bullwaves-811386,1,3004023,0,0
bullwaves-811332,1,2001027,1,0
bullwaves-811348,1,3004022,1,0
bullwaves-811262,1,2001026,1,0
bullwaves-811160,1,2001025,0,0
bullwaves-811076,1,2001024,0,0
bullwaves-811072,1,3004020,0,0
bullwaves-811012,1,3004019,0,0
